date,Unnamed: 0,impressions,date,reach,comments,likes
2022-01-18,394,70,2022-01-18,22,0.0,0.0
2022-01-19,395,1889,2022-01-19,1347,0.0,0.0
2022-01-20,396,704,2022-01-20,483,0.0,0.0
2022-01-21,397,1348,2022-01-21,939,0.0,0.0
2022-01-22,398,1020,2022-01-22,512,0.0,0.0
2022-01-24,401,1341,2022-01-24,1021,0.0,0.0
2022-01-25,402,822,2022-01-25,661,0.0,0.0
2022-01-26,403,383,2022-01-26,298,0.0,0.0
2022-01-27,404,162,2022-01-27,142,0.0,0.0
2022-01-28,405,111,2022-01-28,66,0.0,0.0
2022-01-29,406,54,2022-01-29,45,0.0,0.0
2022-01-31,409,193,2022-01-31,65,0.0,0.0
2022-02-01,410,500,2022-02-01,413,0.0,0.0
2022-02-02,411,266,2022-02-02,229,0.0,0.0
2022-02-03,412,117,2022-02-03,103,0.0,0.0
2022-02-04,413,91,2022-02-04,64,0.0,0.0
2022-02-05,414,101,2022-02-05,46,0.0,0.0
2022-02-07,417,58,2022-02-07,40,0.0,0.0
2022-02-08,418,120,2022-02-08,53,0.0,0.0
2022-02-09,419,142,2022-02-09,56,0.0,0.0
2022-02-10,420,118,2022-02-10,59,0.0,0.0
2022-02-11,421,75,2022-02-11,40,0.0,0.0
2022-02-12,422,92,2022-02-12,63,0.0,0.0
2022-02-14,425,48,2022-02-14,32,0.0,0.0
2022-02-15,426,71,2022-02-15,47,0.0,0.0
2022-02-16,427,58,2022-02-16,49,0.0,0.0
2022-02-17,428,90,2022-02-17,51,0.0,0.0
2022-02-18,429,120,2022-02-18,58,0.0,0.0
2022-02-19,430,126,2022-02-19,101,0.0,0.0
2022-02-21,433,45,2022-02-21,28,0.0,0.0
2022-02-22,434,295,2022-02-22,247,0.0,0.0
2022-02-23,435,100,2022-02-23,88,0.0,0.0
2022-02-24,436,145,2022-02-24,61,0.0,0.0
2022-02-25,437,396,2022-02-25,326,0.0,0.0
2022-02-26,438,315,2022-02-26,258,0.0,0.0
