,impressions,date,reach
422,1769,2022-03-29,1148
423,1218,2022-03-30,792
424,1143,2022-03-31,703
425,1218,2022-04-01,707
426,1190,2022-04-02,710
427,1190,2022-04-03,717
428,563,2022-04-04,295
429,527,2022-04-05,285
430,515,2022-04-06,276
431,465,2022-04-07,259
432,988,2022-04-08,760
433,1066,2022-04-09,855
434,1085,2022-04-10,878
435,1104,2022-04-11,884
436,1219,2022-04-12,939
437,1240,2022-04-13,951
438,1250,2022-04-14,955
439,630,2022-04-15,438
440,557,2022-04-16,360
441,906,2022-04-17,660
442,1138,2022-04-18,864
443,1127,2022-04-19,870
444,1200,2022-04-20,915
445,1212,2022-04-21,934
446,1226,2022-04-22,974
447,1207,2022-04-23,971
448,821,2022-04-24,649
449,1045,2022-04-25,736
450,995,2022-04-26,710
451,924,2022-04-27,702
452,1465,2022-04-28,942
453,1668,2022-04-29,1038
454,1718,2022-04-30,1059
455,1719,2022-05-01,1056
456,1225,2022-05-02,858
457,1183,2022-05-03,813
458,1154,2022-05-04,801
459,745,2022-05-05,478
460,497,2022-05-06,268
461,438,2022-05-07,200
462,435,2022-05-08,198
463,634,2022-05-09,323
464,862,2022-05-10,383
465,917,2022-05-11,420
466,921,2022-05-12,499
467,944,2022-05-13,511
468,947,2022-05-14,522
469,1071,2022-05-15,565
470,1215,2022-05-16,746
471,1417,2022-05-17,943
472,1920,2022-05-18,1076
473,1984,2022-05-19,1028
474,2054,2022-05-20,1014
475,2047,2022-05-21,1016
476,1905,2022-05-22,967
477,1568,2022-05-23,838
478,1140,2022-05-24,595
479,588,2022-05-25,283
480,381,2022-05-26,226
481,308,2022-05-27,204
482,640,2022-05-28,469
483,843,2022-05-29,604
484,922,2022-05-30,651
485,927,2022-05-31,665
486,933,2022-06-01,664
487,925,2022-06-02,656
488,902,2022-06-03,654
489,585,2022-06-04,422
490,434,2022-06-05,288
491,377,2022-06-06,219
492,358,2022-06-07,181
493,478,2022-06-08,185
494,447,2022-06-09,166
495,448,2022-06-10,170
496,418,2022-06-11,163
497,370,2022-06-12,158
498,327,2022-06-13,147
499,370,2022-06-14,157
500,269,2022-06-15,156
501,406,2022-06-16,170
502,777,2022-06-17,508
503,984,2022-06-18,619
504,1251,2022-06-19,733
505,1334,2022-06-20,769
506,1317,2022-06-21,772
507,1359,2022-06-22,766
508,1280,2022-06-23,751
509,937,2022-06-24,508
510,755,2022-06-25,438
511,492,2022-06-26,223
512,408,2022-06-27,160
513,381,2022-06-28,143
514,565,2022-06-29,365
515,576,2022-06-30,404
516,585,2022-07-01,424
517,575,2022-07-02,423
518,568,2022-07-03,415
519,605,2022-07-04,423
520,591,2022-07-05,420
521,620,2022-07-06,411
522,727,2022-07-07,537
523,754,2022-07-08,551
524,808,2022-07-09,548
525,827,2022-07-10,560
526,830,2022-07-11,572
527,840,2022-07-12,579
528,602,2022-07-13,356
529,628,2022-07-14,272
530,916,2022-07-15,518
531,941,2022-07-16,579
532,978,2022-07-17,609
533,982,2022-07-18,609
534,975,2022-07-19,607
535,944,2022-07-20,596
536,1165,2022-07-21,746
537,808,2022-07-22,490
538,734,2022-07-23,406
539,761,2022-07-24,384
540,733,2022-07-25,377
541,720,2022-07-26,368
542,743,2022-07-27,371
543,338,2022-07-28,144
544,393,2022-07-29,143
545,384,2022-07-30,145
546,292,2022-07-31,127
547,277,2022-08-01,128
548,298,2022-08-02,130
549,266,2022-08-03,129
550,270,2022-08-04,128
551,221,2022-08-05,136
552,230,2022-08-06,140
553,240,2022-08-07,151
554,302,2022-08-08,151
555,313,2022-08-09,156
556,395,2022-08-10,158
557,1175,2022-08-11,813
558,1530,2022-08-12,1150
559,1676,2022-08-13,1316
560,1826,2022-08-14,1398
561,1905,2022-08-15,1460
562,1914,2022-08-16,1474
563,1887,2022-08-17,1501
564,1106,2022-08-18,914
565,764,2022-08-19,584
566,589,2022-08-20,422
567,448,2022-08-21,271
568,461,2022-08-22,270
569,493,2022-08-23,273
570,451,2022-08-24,264
571,846,2022-08-25,507
572,991,2022-08-26,513
573,1088,2022-08-27,546
574,1115,2022-08-28,552
575,1037,2022-08-29,538
576,1123,2022-08-30,525
577,1129,2022-08-31,520
578,1228,2022-09-01,593
579,1169,2022-09-02,615
580,1131,2022-09-03,643
581,1177,2022-09-04,647
582,1130,2022-09-05,645
583,1576,2022-09-06,1073
584,2194,2022-09-07,1353
585,2051,2022-09-08,1273
586,2637,2022-09-09,1840
