,impressions,date,reach,comments,likes
593,1135,2022-09-16,772,0,1
594,1101,2022-09-17,750,1,0
595,1125,2022-09-18,763,0,0
596,1119,2022-09-19,762,0,0
597,1522,2022-09-20,1161,0,9
598,1559,2022-09-21,1193,0,2
599,1307,2022-09-22,1071,0,0
600,1235,2022-09-23,1034,1,0
601,1369,2022-09-24,1083,0,17
602,1388,2022-09-25,1117,1,7
603,1359,2022-09-26,1103,0,1
604,690,2022-09-27,485,0,0
605,586,2022-09-28,385,0,0
606,739,2022-09-29,449,0,0
607,891,2022-09-30,509,0,1
608,750,2022-10-01,441,0,0
609,674,2022-10-02,385,0,0
610,685,2022-10-03,395,0,0
611,748,2022-10-04,404,0,0
612,753,2022-10-05,404,0,0
613,570,2022-10-06,329,0,0
614,423,2022-10-07,208,0,0
615,383,2022-10-08,168,0,0
616,409,2022-10-09,175,0,0
617,597,2022-10-10,179,0,0
618,544,2022-10-11,168,0,0
619,2263,2022-10-12,1573,2,46
620,3325,2022-10-13,2418,0,16
621,3461,2022-10-14,2616,0,3
622,3558,2022-10-15,2685,0,0
623,3626,2022-10-16,2749,0,0
624,3561,2022-10-17,2788,0,0
625,3597,2022-10-18,2800,0,0
626,2274,2022-10-19,1657,1,6
627,1403,2022-10-20,861,0,4
628,1771,2022-10-21,940,0,13
629,2423,2022-10-22,1171,0,13
630,2507,2022-10-23,1169,0,1
631,2505,2022-10-24,1164,0,3
632,2799,2022-10-25,1309,0,12
633,4117,2022-10-26,2467,0,32
634,4514,2022-10-27,2784,0,4
635,4249,2022-10-28,2780,0,5
636,3505,2022-10-29,2521,0,0
637,3380,2022-10-30,2477,0,0
638,3280,2022-10-31,2484,0,0
639,2956,2022-11-01,2258,0,3
640,2740,2022-11-02,1902,7,69
641,2980,2022-11-03,1872,1,41
642,2969,2022-11-04,1865,0,11
643,15568,2022-11-05,11713,3,1286
644,19696,2022-11-06,14549,0,317
645,22126,2022-11-07,16226,4,132
646,22733,2022-11-08,16585,1,30
647,21608,2022-11-09,16144,0,15
648,20968,2022-11-10,15827,0,15
649,21248,2022-11-11,16114,0,7
650,8891,2022-11-12,7108,0,11
651,4970,2022-11-13,3941,0,15
652,3454,2022-11-14,2892,0,30
653,3808,2022-11-15,2997,0,25
654,3806,2022-11-16,3001,0,2
655,3793,2022-11-17,3041,0,2
656,3449,2022-11-18,2811,0,15
657,3319,2022-11-19,2715,0,6
658,3145,2022-11-20,2619,0,2
659,2318,2022-11-21,1835,0,1
660,1655,2022-11-22,1311,0,1
661,1409,2022-11-23,1131,0,3
662,1309,2022-11-24,1038,0,5
663,1412,2022-11-25,1138,0,5
664,1477,2022-11-26,1202,0,5
665,1589,2022-11-27,1322,0,6
666,1574,2022-11-28,1307,0,2
667,1373,2022-11-29,1212,0,4
668,1387,2022-11-30,1236,0,5
669,1653,2022-12-01,1468,2,5
670,1810,2022-12-02,1552,0,11
671,1841,2022-12-03,1552,0,3
672,1906,2022-12-04,1533,1,12
673,1875,2022-12-05,1503,0,1
674,1915,2022-12-06,1516,0,3
675,1930,2022-12-07,1489,0,2
676,1664,2022-12-08,1273,0,2
677,1280,2022-12-09,966,0,1
678,1126,2022-12-10,814,0,1
679,1038,2022-12-11,706,0,1
680,1055,2022-12-12,693,0,1
681,1024,2022-12-13,632,0,8
682,892,2022-12-14,542,0,0
683,800,2022-12-15,484,0,0
684,772,2022-12-16,455,0,1
685,758,2022-12-17,443,0,2
686,639,2022-12-18,409,0,0
687,796,2022-12-19,439,2,3
688,771,2022-12-20,459,0,6
689,787,2022-12-21,480,0,5
690,935,2022-12-22,605,0,7
691,1133,2022-12-23,811,1,8
692,1209,2022-12-24,886,0,4
693,1318,2022-12-25,953,0,3
694,1186,2022-12-26,1005,0,1
695,1246,2022-12-27,1031,0,3
696,1286,2022-12-28,1056,0,3
697,1489,2022-12-29,1138,0,1
698,1504,2022-12-30,1071,0,0
699,1430,2022-12-31,1013,0,0
700,1384,2023-01-01,998,0,2
701,1346,2023-01-02,939,0,3
702,2090,2023-01-03,1470,0,23
703,2541,2023-01-04,1668,0,15
704,2323,2023-01-05,1621,0,8
705,2163,2023-01-06,1560,1,2
706,2154,2023-01-07,1547,0,0
707,2488,2023-01-08,1664,0,10
708,2585,2023-01-09,1679,0,2
709,1773,2023-01-10,1294,0,2
710,1406,2023-01-11,1000,0,2
711,1416,2023-01-12,975,0,2
712,1451,2023-01-13,988,0,2
713,1472,2023-01-14,995,0,0
714,1094,2023-01-15,707,0,1
715,991,2023-01-16,651,0,1
716,998,2023-01-17,627,0,0
717,859,2023-01-18,597,2,4
718,746,2023-01-19,504,0,1
719,729,2023-01-20,463,0,1
720,768,2023-01-21,490,0,6
